"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.1536560058594","99.1971282958984","99.2399139404297","100","100","100","100","100","100","91.7","100","100","100","100","100","100","100","100","100","93.4","100","100","100","100","100","100","100","100","100","100","100","99.9","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9172563342889","19.9442774203583","21.5486466155625","22.4932167182052","23.724454932615","23.449539355606","25.1724823105969","26.7951445862147","25.9088451344457","26.1878464781111","27.414953756332","28.909756234127","31.6734274619175","31.7235735731483","31.8719561283579","33.9222756622758","38.8595976583714","40.2237441730368","43.0350733507835","44.3908605333639","46.2823709455637","48.1272110400485","48.7420429375177","50.6675157944854","52.5981705163589","",
"Afghanistan","AFG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","9.3","14.1","19","23.8","28.7","33.5","38.4","42.4","48.3","42.7","43.2","69.1","68","89.5","71.5","97.7","97.7","93.4","97.7","97.7","97.7","85.3","85.3","87.8","",
"Africa Western and Central","AFW","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.6534685725078","32.6922076344145","33.6948353431794","32.6973945834538","32.5239197544343","33.5373691963522","34.9189510860648","34.2688374610643","35.3443670614079","35.8286077252919","39.9830906630448","37.6119675415355","37.9445063873223","39.969425653794","40.8791483784919","41.8786697808203","42.0123595500348","41.9644553034197","46.0690344248595","44.1924075401795","47.2021234922582","47.7700807261544","46.865482628436","51.0516355535304","48.902227563243","51.3381985112771","51.2893740480215","51.8518662109613","54.3660120999023","55.5855936928306","57.0647374680747","58.8221662248088","",
"Angola","AGO","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2","20","26.3","27.4","28.4","29.4","30.5","37.5","38.5","33.8","35","34.6","37.3","38.4","32","42","41.8","42.9","45.3","45.6","47","48.2","48.5","51.1","55.5","",
"Albania","ALB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","99.4","99.4","99.4","99.4","99.4","99.4","99.4","99.4","100","99.6","99.6","99.7","99.9","99.9","100","100","99.9","99.9","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.6117766148893","77.5412552853078","78.1564043364063","80.4586672566828","81.3547942659304","81.323622346782","82.3422219013586","82.2795249538868","83.07676744851","85.2843937164942","83.6267638046023","83.2755641606337","84.1597287073639","86.921502593511","87.1726942320297","86.8478669651407","88.9616299190749","88.4067767085653","88.6616431398725","89.1861710572825","90.3510669396465","88.6898406472267","89.9289963083413","90.2417769685806","90.4340947732985","90.6545179070033","91.6454299444509","92.1659179921314","",
"United Arab Emirates","ARE","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity (% of population)","EG.ELC.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.1548004150391","92.4921875","92.8294525146484","93.1660461425781","93.5012741088867","93.8344650268555","94.1649398803711","94.4920120239258","94.8150024414063","95.1331558227539","95.7","95.5","96.1","96.3","96.5","96.7","97","97.2","97.5","97.8","98.8","99","99.1","99.3","100","99.7","99.9","100","100","100","100","100","100","100","98.4","",
