"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405586592.178771","487709497.206704","596648044.692737","695530726.256983","764804469.273743","872067039.106145","958659217.877095","1083240223.46369","1245810055.86592","1320670391.06145","1379888268.15642","1531843575.41899","1665363128.49162","1722905027.93296","1873452513.96648","1896456983.24022","1961843575.41899","2044111731.84358","2254830726.25698","2360017318.43575","2469782681.56425","2677641340.78212","2843024581.00559","2553793296.08939","2453597206.70391","2637859217.87709","2615208379.88827","2727849162.01117","2790849720.67039","2962906703.91061","2983637430.1676","3092427932.96089","3276187709.49721","3347561738.94591","2461056053.22795","2889305033.55975","3326671314.7742","3746573413.07565","4167588070.29217","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","24205729121.3343","24958927693.8095","27073279052.5749","31769188044.0148","30279603755.3047","33806233152.8526","36927311239.4786","38444227752.5739","41742071179.4675","47048601721.6198","47593987273.0208","52188772290.3067","56726152192.5136","73083720134.3844","89536125811.6756","95295913613.5341","96006577413.0117","109208426467.106","124083628147.889","142100196986.403","178472593462.541","185109278385.547","178355845274.148","185755813130.223","170038799701.363","149335403052.171","160553783155.674","190175547049.302","207369216353.86","220613759094.92","256383478165.175","276918965237.869","241188710607.463","239981577262.429","243477941444.502","273327490479.513","273428068927.083","288271180913.283","268728576302.725","265321450545.646","287042463739.689","260850392951.828","269746460052.503","358116678901.082","445975553009.759","521562847473.691","587454940473.207","674947497627.662","726711167541.424","726850536901.436","863749634744.9","959740239662.05","969171197494.148","981203198866.08","998727180531.477","909905339457.167","832661416653.091","979240640383.155","1021971569379.4","1019354194063.69","938546103425.609","1113059797223.9","1226461319482.05","1179121535535.41","1252564134751.16","1358694050872.54",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3521418059.92345","2813571753.87253","3825701438.99963","4520946818.54581","5224896718.67782","6203256538.70967","6971758282.29351","9747886187.39393","10109297047.5432","12416152732.0567","15856668555.8336","17805098206.3141","19907329777.5872","20146416757.5987","20497128555.6972","19134221644.7325","18116572395.0772","18753456497.8159","18053222687.4126","18799444490.1128","19955929052.1496","14259995441.0759","14497243872.1337","17152234636.8715","17778508875.7396","",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","11904805741.6831","12707719290.6273","13630588814.3032","14468913698.0467","15803564796.4118","16920876929.6607","18033947666.935","16493541543.816","17022596883.7037","19301191937.1478","26696924213.8055","24496786001.8079","29489425515.7538","36890633234.1126","49687223643.2392","57280116275.6847","68385552348.1688","71789497552.1911","78778080489.5676","96681064864.1808","121445961252.94","217606540487.256","196264853551.918","151421439334.1","131373058519.308","138005066699.39","109517776160.1","112641148828.574","111770322169.923","104577372052.932","124277825786.697","130794315519.435","125449432677.509","130547124413.507","135350756019.472","207843864308.684","263563556144.267","276460023661.688","297126502718.93","140119071338.221","142700161610.021","150714426912.027","180129182230.86","208646527354.852","257939299771.648","316515667947.119","402077365740.543","470947616490.786","574259808704.062","515037106035.585","605794323433.602","691133400013.242","748030003656.774","844187976557.843","904094866776.536","778037497377.313","699979485002.844","694206358825.098","777805844264.864","1026527768676.04","963688197941.774","1026670180885.97","1063748247138.21","938480674635.085","737366967283.718","852526995230.254",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5930503400.9626","5550483035.96494","5550483035.96494","5784341596.36339","6131475065.17815","7554065410.12097","7072536108.69707","8084412414.26566","8769836768.83478","10201780976.6695","11229515599.3048","10603784541.197","8307810973.58848","5768720421.61367","4438321017.39068","5538749259.94714","7526421519.16979","7648380195.59902","6506221615.78722","6152923310.44546","9129594970.15301","8936079117.73136","17311512433.1938","20342128111.9406","26997977896.2907","41396636383.8231","58653659979.5501","73037821926.4655","98790432989.3077","81705175408.8809","95546919754.2873","125551634704.941","143572907527.976","148845200696.335","153449860495.966","102543067840.819","60770049747.3832","85629598654.1906","90506061877.2765","81193813808.0382","58512033805.8981","78283923543.8237","128233959333.275","106042349567.303","103080538044.058","122174889423.635",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","1578102105.26316","1808177156.17716","1861163170.16317","1881412587.41259","1857337995.338","1897050116.55012","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880950864.41311","2905092798.61916","3234486232.04392","2293666029.99318","2600356999.20614","3283941510.49964","3584570164.85195","4059064033.13379","4515003116.68036","5801712040.48463","7406645793.44038","8256658249.8128","9150528132.17633","11116937869.8568","13258506375.4518","12335540656.1006","12086545641.299","12973755874.5365","12246499747.9714","12796985886.1478","13296322588.1684","11470171826.9575","11988668784.6628","13258268435.6048","15379508329.7568","15585111614.0376","15241458744.5927","18031989573.0294","19017247013.8821","23491242727.4082","27037474263.2977","30540188271.3421",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78617711.0965325","89406608.1458151","113414397.365635","150841639.297444","186557081.998137","220112572.205331","227283850.831271","253997897.226968","308020261.164149","411548748.354729","446377776.798001","388983266.199886","375914743.581006","327850042.515872","330073080.637098","346742714.675152","481996012.869071","611299924.540506","721425939.15155","795489582.04491","1028989692.06787","1106891361.53948","1209992020.29543","1007090269.86956","1017544068.8408","1178745282.8678","1224024139.21295","1180645571.8643","1211953994.05714","1240295103.08568","1432606188.65883","1548265807.99606","1764279824.23138","2366941808.98431","2900245324.32047","3161084091.26848","3459337986.67058","3957625367.30589","4102319398.76562","3688976340.67187","3449925738.83334","3629133574.51363","3188652765.29297","3193512950.0157","3271685596.52156","2789881258.60547","2896610479.86771","3000162081.22353","3218419896.93333","3155149347.92156","2891001149.40079","3324647529.41855","3380612573.4825","3785067331.88242","4044249678.65625","4500982731.80784",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","19998438360.0899","20329047180.414","22364471921.9059","24813307199.2085","26771102220.4976","28351046006.7356","30600869443.7775","34973045132.814","38563619383.8874","43094139979.9118","49930151347.6477","59970718558.2201","79130725493.6487","152199034142.502","168169966765.176","210007621800.111","242286672182.623","265416162868.754","358135445489.827","486447797289.299","494945999084.645","463114958246.78","437494482946.75","440359064231.052","432863828743.159","405451915982.932","431233067109.026","429362575737.796","457356315289.488","641683975928.51","467929157934.646","467773400613.497","478901864353.457","499875741124.964","528474736899.022","570906140763.65","614595216835.673","598783460087.878","665404764120.193","763400074351.443","744564338442.53","746768175363.066","830076531568.175","987304821542.152","1210081941398.6","1439461123430.75","1674640786036.4","2121063708751.66","1832774180319.93","2165961502751.72","2576183850806.81","2816787067316.22","2887116130913.48","2940745822078.8","2584151265962.58","2540369856563.15","2615263227679.8","2924906594129.03","2969429771610.46","2608795934173.51","3090113052044.16","3752344988903","3617895070373.04","3745043769553","3797527236194.65",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","685986701.316701","939893599.634201","1415086929.3006","4231243615.86089","11651505689.4244","14720729969.1197","19213212475.0768","24871660291.7912","23775718541.3171","31225557021.8735","43599134193.0959","49333471894.9853","46622715280.796","42803373389.6704","41807931452.8262","40603631079.4051","33943568480.9469","36384802310.3887","36275613876.8575","41464966301.7919","50701374187.331","51552058250.3806","54239188745.5001","55625269485.1866","59305111227.5034","65743604965.7557","73571217376.7336","78838886862.1575","75674384204.7668","84445399334.7235","104337463730.167","103311631797.329","109816091078.603","124346476180.46","147824249957.985","180617467954.23","222116532963.026","257916148767.436","315474615741.223","253547358746.804","307736348527.33","368881033962.57","392793559050.783","409632574702.715","424935834104.193","381973135513.065","381717208620.964","403365056078.846","440560003161.236","433926218686.108","357161776271.328","422441282436.237","511403404642.173","522622268401.125","552324919095.872","",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","15865474315.4056","20132220374.9093","18337691145.3688","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499892.1722","56781000101.0848","89049453088.3282","69252328951.6441","76961923741.0701","78676842366.5529","84307486836.724","103979106777.911","116915052107.031","88150891728.1064","105872372613.857","108810885301.253","126890235049.092","76629728760.123","141352654305.163","189719984268.485","228778917308.17","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530158122010.442","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557532320662.955","643628393281.364","524819892360.176","447754683615.225","385740508436.965","486564085480.036","633993756301.08","649461687959.174","638365455340.04","683097891618.597",
